sentence,source,target,relation
A pair of twins looking at a bear at a zoo.,,zoo,"['pair', 'of']"
A fridge stuffed full of all kinds of foods and beverages.,,foods,['fridge']
politician is honored as his official portrait is unveiled in ceremonies,official,,['honored']
reflection windows and curtains moving in the lens of camera .,,reflection,['windows']
A living room with a couch is next to two chairs with a plant in the middle. ,living,,"['is', 'next']"
ways to add some sparkle and sizzle to your love life,,love,['ways']
wild daisies bloom on a green meadow,wild,,"['bloom', 'on']"
cherry tomatoes on sale in a market stall,,market,"['tomatoes', 'on']"
wooden ceiling and windows inside a church,,wooden,['ceiling']
country celebrate the wicket of cricketer in the third test on day,country,third,['celebrate']
Tourists on a walking tour of England.,,walking,"['Tourists', 'on']"
"RED, WHITE, BLUE AND YELLOW TRAIN COMING DOWN THE TRACKS",RED,,['COMING']
a city connecting the south to the islands,,islands,['city']
they took a cruise and have info about all the cities they visited,they,cities,['took']
A woman lays on a mat and completes several situps then a guy is shown doing them too.,then,,['lays']
A guy in a yellow and red shirt controls a machine.,guy,yellow,['controls']
the steam train leaving a city,,steam,['train']
sunset over sea seen from the beach in city,,city,"['sunset', 'over']"
portrait of a young smiling teacher in classroom .,,smiling,"['portrait', 'of']"
A blue plate holds a pasta dish with shrimp.,blue,,['holds']
"Someone grabs a grenade from an open crate and hurls it into enemy ranks, exploding several hydra soldiers.",Someone,several,['grabs']
cranes tower above roman catholic place of worship,,catholic,"['tower', 'above', 'roman']"
two little carrots stuffed with meat  on a blue plate,,blue,['carrots']
a bridge leads tourists over a pond,bridge,pond,['leads']
a ruin behind buddhist place of worship,,buddhist,"['ruin', 'behind', 'buddhist']"
The broccoli is surrounded by the large green leaves.,broccoli,green,"['surrounded', 'by']"
The silver fridge has magnets on its side.,silver,,['has']
inspired tiles for the master bathroom,,inspired,"['tiles', 'for']"
Woman in front of pizza with several toppings and pasta,,several,"['Woman', 'in']"
ripe wheat ears in field ready for harvest and the rising sun,,ready,"['ears', 'in']"
A special toilet with an electronic seat and lid.,,electronic,"['toilet', 'with']"
the last flowers my dad sent to my mum before he died,he,mum,['flowers']
metro moving escalator with no people,,moving,"['escalator', 'with']"
football player has been named the player of the month for december,football,player,['named']
digital painting of biological species with branches and leaves .,,biological,"['painting', 'of', 'biological']"
Two people and their luggage traveling and snoozing on the train.,Two,,['traveling']
Two friends open gifts alone.,Two,,['open']
the edge of a coniferous forest with a clear cloudless sky and copy space for your text .,,cloudless,"['edge', 'of']"
the ferry coming alongside the quay,,quay,['ferry']
flock of sheep on the mountain,,mountain,"['flock', 'of']"
father and children visiting their mother in the hospital,father,hospital,['visiting']
author gives racecar driver a lift back to the pits after person stops in the final few laps,back,racecar,['gives']
many locks at a bridge on the canal of city,,many,"['locks', 'at']"
type of place of worship of artwork featuring a temple or place of worship and religious elements,,worship,"['type', 'of']"
love the hot pink flowers with the navy and white striped ribbon on this wedding cake,,striped,['love']
Four zebras in the plains next to some trees,,next,"['zebras', 'in']"
this home for sale has large bedrooms that can accommodate your family and friends .,large,,"['has', 'large']"
a grand white and gold temple built on a cliff overlooking the sea on the coast .,,white,['temple']
A brother is helping his sister open up her birthday gifts,sister,birthday,['helping']
aerial drone shot of a castle on a hill,,aerial,"['shot', 'of']"
sculpture and abstract paintings on the wall,,abstract,['sculpture']
olive tree on the view of lake near of mountains .,,olive,"['tree', 'on']"
the sun rises over the port .,sun,port,"['rises', 'over']"
the dam generates enough electricity to power all .,dam,enough,"['generates', 'enough']"
the main ballroom decorated in whites and wedding,,main,['ballroom']
Saddled horses tethered to railing posts at a ranch,,Saddled,['horses']
train behind a cloud of smoke,,smoke,"['train', 'behind']"
Three mountain goats on a rock with grass around it.,,Three,"['goats', 'on']"
The soldiers run through the jungle as bullets explode all around.,bullets,jungle,"['run', 'through']"
if you have to get up early at least you get a beautiful sunrise with fog over the marshes,least,,['get']
silhouette of a tree for western christian holiday with burning pumpkins,,burning,"['silhouette', 'of']"
silhouette of a group of people waving goodbye,,people,"['silhouette', 'of']"
The room is furnished with antique furniture of different types..,room,different,"['furnished', 'with', 'antique']"
celestial blue painted ceiling in church and estuary,,painted,"['ceiling', 'in']"
located in the neighborhood was built and is a contributing property .,located,neighborhood,['built']
two black and white clocks on a black clock tower and clouds ,,black,"['clocks', 'on']"
there is certainly no lack of storage space in this room .,,certainly,['is']
Pizza with an assortment of veggies on a platter.,,platter,"['Pizza', 'with']"
event divides the world in half,event,half,['divides']
players of joke during a training session prior the match .,players,training,['prior']
measuring volume record the volume of water in a graduated cylinder .,,graduated,['record']
a white swan is floating on a lake.,white,,"['floating', 'on']"
campus and main building of the university,,main,['campus']
Neatly decorated living room with unused fireplace in residence.,,unused,"['room', 'with', 'unused']"
The little boy is learning how to drive a golf ball with his tee.,little,,['learning']
this means your heart pumps around litres of blood every minute .,heart,blood,['means']
these giant sculptures are made from plastic found in sea and shore in our beaches .,giant,,"['made', 'from']"
rock walls glow red under reflected light .,rock,walls,"['glow', 'red']"
reflections of fairy lights and lanterns in a pond,,fairy,"['reflections', 'of']"
save the date with calendar in pink color for wedding,,pink,['save']
boy and girl pulling suitcase at the airport,,airport,['boy']
big frog sitting on a leaf in the garden and breathing,big,,"['sitting', 'on']"
add some warmth to the room with wooden elements and soft textures,,wooden,['add']
a green spider on his web catching prey,,catching,"['spider', 'on']"
An eagle is soaring through the sky near some trees.,eagle,trees,"['soaring', 'through']"
Two little boys carry surfboards down to the sea.,little,,['carry']
the gothic style was introduced in building this church .,gothic,,"['introduced', 'in']"
a town overlooking the sea in copy space,,copy,['town']
cute kitten eats fresh green grass at home .,cute,,"['eats', 'fresh']"
wooden bridge that linked to the other side of the island .,wooden,,['bridge']
cruise ship and small boats seen in a channel approaching,,small,['ship']
wild brown bear searching food in the snow,brown,,['searching']
i love the texture of this cake for a winter wedding .,i,winter,['love']
vegetable garden with scarecrow at the farm and home of novelist,,vegetable,"['garden', 'with']"
A cyclist is about to fall over after rounding a corner on a wet road.,cyclist,wet,"['is', 'about']"
a vintage fireplace adds a dose of modern style to this living room .,vintage,,['adds']
mother playing with her baby boy at home in the floor,,baby,['mother']
A few sheep on a hill by a goat.,,few,"['sheep', 'on']"
crafts and a neat idea to decorate for the holidays or a party .,,neat,['crafts']
sharing a cup of coffee,,coffee,['sharing']
"A bathroom with a toilet, shower and an hanging chain to flush the toilet. ",,hanging,"['bathroom', 'with']"
little boy leaving for school with grandparents in the morning,,little,['boy']
a bride being walked down the aisle of a snowy outdoor chapel by her father,bride,outdoor,"['walked', 'down']"
many euro banknotes falling from the sky in a pink piggy bank,,pink,['banknotes']
