text,SRC,REL,TGT
a small bathroom contains a toilet and shower,bathroom,contains,toilet
A hiker is watching a bear.,hiker,watching,bear
large group of people lying on the grass in circle,group,of,people
a plane waits to depart from airport,waits,depart,airport
A cow grazing the pasture nestled between trees.,cow,grazing,pasture
president has a private audience with religious leader,president,has,audience
Fashionable bathroom with flowers and images on wall,bathroom,with,flowers
the nearly complete facade of roman catholic place of worship,facade,of,place
italian dish and cake served on ship,dish,served,ship
a small abandoned waterfall in a public park in summer sunny weather,waterfall,abandoned,park
soccer player arrives for a press conference at the hotel ahead .,player,arrives,conference
mushrooms and moss growing on a tree in the rainforest,mushrooms,growing,tree
type of dish inside an avocado,type,of,dish
Biker loses control of bike in midair.,Biker,loses,control
A group of runners wait for the marathon to begin.,group,of,runners
fireworks explode over classical structure atop tourist attraction,fireworks,explode,structure
building function of the old city,function,of,city
A toy train set on the tracks with smoke coming out the engine.,train,set,tracks
A group of people are gathering at a convention discussing things.,group,of,people
places of worship the resting place of the family including military commander,places,of,worship
meals are served in the main dinning room,meals,served,room
a jet approaches an airport runway from across the sea on a cloudy day,jet,approaches,runway
the families live but home for the summer .,families,live,summer
famous harbour is lit up by fireworks as the city celebrates the arrival,harbour,lit,fireworks
a campaign has been launched to clean islands and the surrounding seas of all plastic .,campaign,launched,islands
footballer has lost finals with the national team .,footballer,lost,finals
a room showing a toilet and a curtain well hanged,room,showing,toilet
composite image of family having a pillow fight on the bed,image,of,family
athlete of gestures during the match .,athlete,of,gestures
religion circling the holy tree and offering flowers at the temple,religion,circling,tree
mother and child shopping in a supermarket,shopping,in,supermarket
an old section of bridge used in a nature reserve to cross a tidal stream with the tide almost,section,of,bridge
a woman was performing as a ballerina at a ballet in a blue tutu.,woman,performing,ballerina
A fluffy sheep stands in hay in a pen.,sheep,stands,hay
cruise ship leaving having spent a day .,ship,leaving,day
A bear in a zoo looks over the safety fence. ,bear,in,zoo
restaurant was awarded a prestigious star in october .,restaurant,awarded,star
devotees gather to perform rituals to the rising sun during festival,devotees,gather,rituals
an empty chair is waiting for someone in the rain at port full of modern yachts and boats,chair,waiting,rain
minimal bedside tables in gold for the vivacious contemporary bedroom,tables,in,gold
flowing stream in the winter,stream,flowing,winter
A jumbo jet on the tarmac of an airport.,jet,on,tarmac
"A plate filled with ham, beans potatoes and squash.",plate,filled,potatoes
a city featuring heritage architecture and a temple or place of worship,city,featuring,architecture
car dressed with white ribbons and bows for a wedding,car,dressed,ribbons
A huge white bathtub and toilet in a yellow tile and white bathroom with two windows.,bathtub,in,bathroom
Three ladies are lounging on the beach.,ladies,lounging,beach
demonstrators stand among the smoke of burning barricades during clashes with riot police .,demonstrators,stand,smoke
avenue of trees in a small town,avenue,of,trees
trail at the edge of forest leading into the fog .,trail,at,edge
A jet in the air with landing gear out.,jet,in,air
old red canoe adhered to a tree on fine lake in an environment of mountains,canoe,adhered,tree
a brand new car is offered for sale on the forecourt of a car dealership,car,offered,sale
flower pots hanged of the wall,pots,hanged,wall
a city not far from the pyramids cattle and camels crossing bridge on way home from fields at end,city,from,cattle
tower and a city at the entrance seen,tower,at,entrance
a nurse reassures the patient as gynecological surgeon dr,nurse,reassures,patient
An old locomotive traveling along a railroad track.,traveling,along,track
the exhibition shares the stories of families reunited .,exhibition,shares,stories
football player said it was a joy to see so many young players with important roles,player,said,players
"A plate featuring meat, with sauce, potatoes and broccoli is shown.",plate,featuring,meat
A man rotating the different lenses on a microscope.,man,rotating,lenses
Two bacon wrapped hot dogs are served on a plate.,bacon,wrapped,dogs
"A small bathroom with a sink, toilette and shower.",bathroom,with,sink
A lobster holding a diver.,lobster,holding,diver
a tank passes at high speed during an early morning patrol on the border .,tank,passes,speed
still life with enamelled bowls with fruit in a cabinet,life,with,bowls
burning candles put out in the end,candles,burning,end
young woman walking near the town on the hills,woman,walking,town
flowers and fruit in a garden,flowers,in,garden
a fashion look featuring boots .,look,featuring,boots
An elephant in the zoo walking along his pen.,elephant,in,zoo
colour image of flowers in bloom in a front garden,image,of,flowers
politician addresses media at city hall on tuesday as his brother looks on .,media,at,hall
event held every year attracts visitors from all around the world .,event,held,visitors
the burning candle on which to melt wax,candle,burning,wax
scout leading the way through the fog,scout,leading,way
church and a castle as seen from a square in old town,church,from,square
ivy crawls across an old stone wall at the entrance to a garden,ivy,crawls,wall
reflection of trees in the afternoon,reflection,of,trees
what characteristics are shared by living organisms,characteristics,shared,organisms
An airplane loading or unloading passengers at an airport.,passengers,unloading,airport
person shares a meal with friends and family in her home,person,shares,meal
a large ornamental pond or small lake with a rustic wooden bridge in a country garden in summer,pond,with,bridge
tattoos are a symbol of strength and courage as well as long life,tattoos,of,strength
bell tower of the catholic church decorated with garlands of flowers .,tower,of,church
A soldier is looking out of his tank.,soldier,looking,tank
